Country Lookup Key	Country Name	Country Code	 GDP in USD 2010 	 GDP in USD 2011 	 GDP in USD 2012 	 GDP in USD 2013 	 GDP in USD 2014 	 GDP in USD 2015 	 GDP in USD 2016 
LATIN AMERICA & CARIBBEAN	Latin America & Caribbean	LCN	" 5,354,420,958,074 "	" 6,087,457,540,728 "	" 6,150,616,417,221 "	" 6,301,890,298,663 "	" 6,425,251,637,775 "	" 5,529,111,180,661 "	" 5,398,482,890,245 "
LEAST DEVELOPED COUNTRIES: UN CLASSIFICATION	Least developed countries: UN classification	LDC	" 682,180,586,432 "	" 778,767,083,262 "	" 826,383,452,266 "	" 901,616,161,230 "	" 974,055,229,894 "	" 966,458,681,285 "	" 950,657,771,886 "
LOW INCOME	Low income	LIC	" 392,094,800,909 "	" 427,682,679,501 "	" 449,651,881,090 "	" 492,863,774,346 "	" 527,424,451,181 "	" 533,734,870,124 "	" 488,936,926,501 "
LIECHTENSTEIN	Liechtenstein	LIE	" 5,082,366,478 "	" 5,739,977,477 "	" 5,456,009,385 "	" 6,391,735,894 "	" 6,657,170,923 "	" 6,268,391,521 "	" 6,237,264,055 "
SRI LANKA	Sri Lanka	LKA	" 56,725,749,222 "	" 65,292,753,005 "	" 68,434,409,315 "	" 74,317,806,538 "	" 79,356,449,841 "	" 80,604,080,689 "	" 82,401,038,710 "
LOWER MIDDLE INCOME	Lower middle income	LMC	" 3,931,119,157,587 "	" 4,422,887,680,135 "	" 4,668,067,570,340 "	" 4,918,038,585,628 "	" 5,226,217,431,859 "	" 5,182,268,735,537 "	" 5,360,983,734,802 "
LOW & MIDDLE INCOME	Low & middle income	LMY	" 20,544,018,356,784 "	" 24,257,492,259,031 "	" 25,911,940,008,003 "	" 27,445,087,282,780 "	" 28,483,329,039,856 "	" 27,066,524,748,194 "	" 27,200,380,589,510 "
LESOTHO	Lesotho	LSO	" 2,269,525,779 "	" 2,622,336,148 "	" 2,526,185,314 "	" 2,421,470,018 "	" 2,499,803,984 "	" 2,372,280,103 "	" 2,165,408,359 "
LATE-DEMOGRAPHIC DIVIDEND	Late-demographic dividend	LTE	" 13,506,370,201,603 "	" 16,458,769,415,924 "	" 17,607,169,172,336 "	" 18,977,342,818,571 "	" 19,698,463,710,451 "	" 18,471,432,307,959 "	" 18,516,557,706,975 "
LITHUANIA	Lithuania	LTU	" 37,138,464,733 "	" 43,582,248,870 "	" 42,943,442,158 "	" 46,514,471,182 "	" 48,574,531,942 "	" 41,418,872,976 "	" 43,018,087,238 "
LUXEMBOURG	Luxembourg	LUX	" 53,212,476,812 "	" 60,004,630,234 "	" 56,677,961,787 "	" 61,739,352,212 "	" 66,103,853,237 "	" 57,744,457,955 "	" 60,691,483,443 "
LATVIA	Latvia	LVA	" 23,877,564,356 "	" 28,619,991,392 "	" 28,330,632,929 "	" 30,432,796,306 "	" 31,329,367,173 "	" 27,239,653,844 "	" 28,052,325,862 "
"MACAO SAR, CHINA"	"Macao SAR, China"	MAC	" 28,123,640,999 "	" 36,709,860,068 "	" 43,031,577,366 "	" 51,552,075,902 "	" 55,347,998,648 "	" 45,361,678,147 "	" 45,387,299,721 "
ST. MARTIN (FRENCH PART)	St. Martin (French part)	MAF							
MOROCCO	Morocco	MAR	" 93,216,746,662 "	" 101,370,474,295 "	" 98,266,306,615 "	" 106,825,649,872 "	" 110,081,248,587 "	" 101,179,808,076 "	" 103,311,649,248 "
MONACO	Monaco	MCO	" 5,367,625,613 "	" 6,088,808,463 "	" 5,743,029,680 "	" 6,555,983,530 "	" 7,069,616,049 "	" 6,261,622,101 "	" 6,472,990,923 "
MOLDOVA	Moldova	MDA	" 6,974,960,345 "	" 8,414,360,656 "	" 8,709,165,249 "	" 9,496,684,701 "	" 9,510,219,299 "	" 7,745,231,660 "	" 8,071,480,541 "
MADAGASCAR	Madagascar	MDG	" 9,982,711,030 "	" 11,551,821,062 "	" 11,578,978,053 "	" 12,423,557,907 "	" 12,522,959,157 "	" 11,323,023,787 "	" 11,848,615,018 "
MALDIVES	Maldives	MDV	" 2,588,176,055 "	" 2,774,351,760 "	" 2,886,170,572 "	" 3,295,011,382 "	" 3,697,351,594 "	" 4,109,447,297 "	" 4,379,115,588 "
MIDDLE EAST & NORTH AFRICA	Middle East & North Africa	MEA	" 2,768,051,385,033 "	" 3,280,524,945,926 "	" 3,576,379,622,627 "	" 3,548,728,301,290 "	" 3,569,880,025,467 "	" 3,143,961,312,693 "	" 3,155,520,650,807 "
MEXICO	Mexico	MEX	" 1,057,801,295,584 "	" 1,180,489,601,958 "	" 1,201,089,987,015 "	" 1,274,443,084,717 "	" 1,315,351,183,525 "	" 1,171,867,608,198 "	" 1,078,490,651,625 "
MARSHALL ISLANDS	Marshall Islands	MHL	" 162,164,700 "	" 174,332,100 "	" 182,874,800 "	" 187,707,400 "	" 184,689,500 "	" 184,599,600 "	" 200,558,400 "
MIDDLE INCOME	Middle income	MIC	" 20,154,557,259,463 "	" 23,825,657,402,235 "	" 25,456,336,153,963 "	" 26,949,417,332,376 "	" 27,956,218,907,119 "	" 26,539,231,023,473 "	" 26,707,878,448,640 "
NORTH MACEDONIA	North Macedonia	MKD	" 9,407,168,702 "	" 10,494,632,699 "	" 9,745,251,126 "	" 10,817,712,139 "	" 11,362,272,838 "	" 10,064,515,432 "	" 10,672,471,861 "
MALI	Mali	MLI	" 10,689,167,195 "	" 12,995,074,801 "	" 12,441,946,098 "	" 13,242,680,705 "	" 14,364,859,446 "	" 13,104,802,016 "	" 14,025,944,550 "
MALTA	Malta	MLT	" 9,035,932,178 "	" 9,638,916,472 "	" 9,462,238,257 "	" 10,551,661,220 "	" 11,626,281,450 "	" 11,091,434,435 "	" 11,665,231,192 "
MYANMAR	Myanmar	MMR	" 49,540,813,342 "	" 59,977,326,086 "	" 59,937,797,559 "	" 60,269,734,045 "	" 65,446,199,788 "	" 67,822,772,707 "	" 67,184,236,747 "
MIDDLE EAST & NORTH AFRICA (EXCLUDING HIGH INCOME)	Middle East & North Africa (excluding high income)	MNA	" 1,384,800,137,553 "	" 1,566,916,852,596 "	" 1,729,643,567,215 "	" 1,619,240,456,888 "	" 1,599,403,833,225 "	" 1,440,212,700,192 "	" 1,459,985,957,528 "
MONTENEGRO	Montenegro	MNE	" 4,142,931,813 "	" 4,544,575,152 "	" 4,087,561,650 "	" 4,464,502,434 "	" 4,587,741,791 "	" 4,053,097,851 "	" 4,373,958,354 "
MONGOLIA	Mongolia	MNG	" 7,189,481,824 "	" 10,409,797,649 "	" 12,292,770,631 "	" 12,582,122,604 "	" 12,226,514,722 "	" 11,749,620,620 "	" 11,186,734,674 "
NORTHERN MARIANA ISLANDS	Northern Mariana Islands	MNP	" 799,000,000 "	" 733,000,000 "	" 751,000,000 "	" 782,000,000 "	" 845,000,000 "	" 931,000,000 "	" 1,250,000,000 "
MOZAMBIQUE	Mozambique	MOZ	" 11,104,648,673 "	" 14,381,552,433 "	" 16,350,804,543 "	" 16,974,320,551 "	" 17,716,084,108 "	" 15,950,969,019 "	" 11,936,999,283 "
MAURITANIA	Mauritania	MRT	" 5,628,882,266 "	" 6,764,635,687 "	" 6,728,208,836 "	" 7,223,063,170 "	" 6,592,537,782 "	" 6,166,857,629 "	" 6,398,744,505 "
MAURITIUS	Mauritius	MUS	" 10,003,670,690 "	" 11,518,393,367 "	" 11,668,685,524 "	" 12,129,642,296 "	" 12,803,445,934 "	" 11,692,287,066 "	" 12,232,463,656 "
MALAWI	Malawi	MWI	" 6,959,655,571 "	" 8,004,000,737 "	" 6,028,487,929 "	" 5,518,880,769 "	" 6,047,813,437 "	" 6,373,212,641 "	" 5,433,040,160 "
MALAYSIA	Malaysia	MYS	" 255,016,609,233 "	" 297,951,960,784 "	" 314,443,149,443 "	" 323,277,158,907 "	" 338,061,963,396 "	" 301,354,803,994 "	" 301,255,380,276 "
NORTH AMERICA	North America	NAC	" 16,612,151,675,811 "	" 17,337,541,701,048 "	" 18,032,074,866,349 "	" 18,638,523,474,155 "	" 19,337,110,892,845 "	" 19,787,488,505,418 "	" 20,250,103,662,982 "
NAMIBIA	Namibia	NAM	" 11,268,186,636 "	" 12,343,501,808 "	" 13,041,886,316 "	" 12,011,207,741 "	" 12,356,482,989 "	" 11,272,143,473 "	" 10,665,634,688 "
NEW CALEDONIA	New Caledonia	NCL							
NIGER	Niger	NER	" 7,851,191,899 "	" 8,772,951,262 "	" 9,426,913,349 "	" 10,224,897,935 "	" 10,862,944,204 "	" 9,685,577,941 "	" 10,355,006,770 "
NIGERIA	Nigeria	NGA	" 361,456,622,216 "	" 404,993,594,134 "	" 455,501,524,575 "	" 508,692,961,937 "	" 546,676,374,568 "	" 486,803,295,098 "	" 404,650,006,429 "
NICARAGUA	Nicaragua	NIC	" 8,758,639,096 "	" 9,774,262,742 "	" 10,532,049,077 "	" 10,982,938,826 "	" 11,880,434,071 "	" 12,756,706,583 "	" 13,286,083,645 "
NETHERLANDS	Netherlands	NLD	" 846,554,894,931 "	" 904,085,980,796 "	" 838,971,306,991 "	" 876,923,518,850 "	" 890,981,311,078 "	" 765,264,949,781 "	" 783,528,181,705 "
NORWAY	Norway	NOR	" 428,757,038,467 "	" 498,283,438,454 "	" 509,506,317,147 "	" 522,761,531,915 "	" 498,410,050,251 "	" 385,801,550,067 "	" 368,819,929,542 "
NEPAL	Nepal	NPL	" 16,002,656,434 "	" 18,913,574,371 "	" 18,851,513,891 "	" 19,271,168,018 "	" 20,002,968,838 "	" 21,410,840,909 "	" 21,185,922,408 "
NAURU	Nauru	NRU	" 47,564,520 "	" 66,055,408 "	" 96,927,201 "	" 98,491,844 "	" 104,654,365 "	" 86,779,266 "	" 100,087,349 "
NEW ZEALAND	New Zealand	NZL	" 146,619,138,359 "	" 168,510,189,201 "	" 176,247,979,236 "	" 190,845,889,950 "	" 200,921,936,786 "	" 177,467,529,071 "	" 188,223,664,747 "
OECD MEMBERS	OECD members	OED	" 45,050,470,863,514 "	" 48,451,045,338,401 "	" 48,424,374,706,150 "	" 49,078,639,087,280 "	" 50,111,815,274,172 "	" 47,286,499,263,674 "	" 48,179,034,147,539 "
OMAN	Oman	OMN	" 56,913,065,779 "	" 67,872,692,582 "	" 76,511,059,936 "	" 78,555,637,365 "	" 80,686,854,743 "	" 68,399,663,322 "	" 65,480,507,171 "
OTHER SMALL STATES	Other small states	OSS	" 322,445,262,648 "	" 396,955,486,137 "	" 414,384,564,145 "	" 432,374,768,925 "	" 446,839,099,917 "	" 370,774,396,652 "	" 366,401,331,400 "
PAKISTAN	Pakistan	PAK	" 177,165,635,077 "	" 213,587,413,184 "	" 224,383,620,830 "	" 231,218,567,179 "	" 244,360,888,751 "	" 270,556,131,701 "	" 278,654,637,738 "
PANAMA	Panama	PAN	" 29,440,300,000 "	" 34,686,200,000 "	" 40,429,700,000 "	" 45,600,000,000 "	" 49,921,500,000 "	" 54,091,700,000 "	" 57,907,700,000 "
PERU	Peru	PER	" 147,528,937,029 "	" 171,761,737,047 "	" 192,648,999,090 "	" 201,175,469,114 "	" 200,789,362,452 "	" 189,805,300,842 "	" 191,895,943,824 "
PHILIPPINES	Philippines	PHL	" 208,368,892,319 "	" 234,216,730,704 "	" 261,920,542,607 "	" 283,902,829,721 "	" 297,483,553,300 "	" 306,445,871,632 "	" 318,627,003,966 "
PALAU	Palau	PLW	" 185,943,000 "	" 196,911,100 "	" 212,397,800 "	" 221,117,200 "	" 241,669,800 "	" 280,457,700 "	" 295,065,400 "
PAPUA NEW GUINEA	Papua New Guinea	PNG	" 14,250,755,222 "	" 17,984,910,496 "	" 21,295,659,249 "	" 21,261,432,775 "	" 23,210,682,537 "	" 21,723,531,182 "	" 20,759,069,105 "
POLAND	Poland	POL	" 479,834,179,020 "	" 528,301,269,070 "	" 498,523,568,248 "	" 521,016,262,735 "	" 542,477,096,212 "	" 477,811,911,394 "	" 472,630,364,208 "
PRE-DEMOGRAPHIC DIVIDEND	Pre-demographic dividend	PRE	" 1,018,109,240,279 "	" 1,181,588,267,637 "	" 1,301,869,280,377 "	" 1,428,106,308,373 "	" 1,507,685,425,623 "	" 1,340,468,680,425 "	" 1,218,123,189,349 "
PUERTO RICO	Puerto Rico	PRI	" 98,381,300,000 "	" 100,351,700,000 "	" 101,564,800,000 "	" 102,450,000,000 "	" 102,445,800,000 "	" 103,375,500,000 "	" 104,336,700,000 "
"KOREA, DEM. PEOPLE’S REP."	"Korea, Dem. People’s Rep."	PRK							
PORTUGAL	Portugal	PRT	" 237,880,908,318 "	" 244,797,226,567 "	" 216,236,608,774 "	" 226,369,502,104 "	" 229,596,170,847 "	" 199,313,894,327 "	" 206,286,022,782 "
PARAGUAY	Paraguay	PRY	" 27,215,968,616 "	" 33,715,524,704 "	" 33,283,228,891 "	" 38,585,317,743 "	" 40,276,532,541 "	" 36,164,068,797 "	" 36,054,281,572 "
WEST BANK AND GAZA	West Bank and Gaza	PSE	" 9,681,500,000 "	" 11,186,100,000 "	" 12,208,400,000 "	" 13,515,500,000 "	" 13,989,700,000 "	" 13,972,400,000 "	" 15,405,400,000 "
PACIFIC ISLAND SMALL STATES	Pacific island small states	PSS	" 6,598,673,080 "	" 7,737,574,651 "	" 8,223,336,840 "	" 8,544,448,804 "	" 9,271,534,114 "	" 9,049,548,346 "	" 9,475,857,773 "
POST-DEMOGRAPHIC DIVIDEND	Post-demographic dividend	PST	" 42,523,383,032,728 "	" 45,663,523,980,497 "	" 45,621,668,588,059 "	" 46,082,323,358,324 "	" 47,033,622,109,454 "	" 44,518,542,519,300 "	" 45,500,484,584,505 "
FRENCH POLYNESIA	French Polynesia	PYF							
QATAR	Qatar	QAT	" 125,122,306,346 "	" 167,775,268,614 "	" 186,833,502,362 "	" 198,727,642,979 "	" 206,224,598,565 "	" 161,739,955,578 "	" 151,732,181,857 "
ROMANIA	Romania	ROU	" 166,309,355,235 "	" 183,326,740,143 "	" 170,635,805,317 "	" 190,801,346,194 "	" 199,959,363,430 "	" 177,729,210,875 "	" 188,128,818,486 "
RUSSIAN FEDERATION	Russian Federation	RUS	" 1,524,917,468,442 "	" 2,045,925,608,274 "	" 2,208,295,773,643 "	" 2,292,473,246,621 "	" 2,059,241,965,491 "	" 1,363,481,063,447 "	" 1,276,786,979,222 "
RWANDA	Rwanda	RWA	" 6,124,120,673 "	" 6,884,889,636 "	" 7,655,138,385 "	" 7,819,538,349 "	" 8,246,166,341 "	" 8,545,441,361 "	" 8,697,268,916 "
SOUTH ASIA	South Asia	SAS	" 2,060,781,195,903 "	" 2,271,837,830,663 "	" 2,297,332,203,013 "	" 2,357,132,410,758 "	" 2,581,822,536,187 "	" 2,697,257,705,966 "	" 2,923,010,601,938 "
SAUDI ARABIA	Saudi Arabia	SAU	" 528,207,332,650 "	" 671,238,840,108 "	" 735,974,843,349 "	" 746,647,127,408 "	" 756,350,347,320 "	" 654,269,902,889 "	" 644,935,541,446 "
SUDAN	Sudan	SDN	" 58,167,563,413 "	" 57,060,450,038 "	" 52,766,746,152 "	" 57,730,380,600 "	" 64,941,713,057 "	" 74,294,508,240 "	" 51,772,232,495 "
SENEGAL	Senegal	SEN	" 16,230,887,978 "	" 17,902,207,622 "	" 17,824,398,469 "	" 18,965,572,150 "	" 19,797,254,643 "	" 17,774,766,636 "	" 19,040,312,815 "
SINGAPORE	Singapore	SGP	" 239,809,387,605 "	" 279,351,168,707 "	" 295,087,220,933 "	" 307,576,360,585 "	" 314,851,156,183 "	" 308,004,146,058 "	" 318,652,334,419 "
SOLOMON ISLANDS	Solomon Islands	SLB	" 846,797,694 "	" 1,049,952,233 "	" 1,190,994,127 "	" 1,284,698,922 "	" 1,335,538,893 "	" 1,307,061,544 "	" 1,378,551,118 "
SIERRA LEONE	Sierra Leone	SLE	" 2,578,026,297 "	" 2,942,546,781 "	" 3,801,862,611 "	" 4,920,343,195 "	" 5,015,157,816 "	" 4,218,723,875 "	" 3,674,794,530 "
EL SALVADOR	El Salvador	SLV	" 18,447,920,000 "	" 20,283,790,000 "	" 21,386,140,000 "	" 21,990,970,000 "	" 22,593,480,000 "	" 23,438,240,000 "	" 24,191,440,000 "
SAN MARINO	San Marino	SMR	" 1,881,214,371 "	" 1,813,752,784 "	" 1,604,779,648 "	" 1,678,841,812 "	" 1,673,973,695 "	" 1,419,394,771 "	" 1,468,377,272 "
SOMALIA	Somalia	SOM							
SERBIA	Serbia	SRB	" 41,819,468,692 "	" 49,258,136,129 "	" 43,309,252,921 "	" 48,394,239,475 "	" 47,062,206,678 "	" 39,655,958,843 "	" 40,692,643,373 "
SUB-SAHARAN AFRICA (EXCLUDING HIGH INCOME)	Sub-Saharan Africa (excluding high income)	SSA	" 1,365,554,756,048 "	" 1,541,363,847,367 "	" 1,622,381,989,824 "	" 1,728,625,447,634 "	" 1,794,595,480,408 "	" 1,648,848,763,841 "	" 1,526,703,538,850 "
SOUTH SUDAN	South Sudan	SSD	" 14,602,072,411 "	" 14,907,308,933 "	" 11,931,472,169 "	" 18,426,469,017 "	" 13,962,212,847 "	" 11,997,800,760 "	
SUB-SAHARAN AFRICA	Sub-Saharan Africa	SSF	" 1,376,526,185,709 "	" 1,553,945,789,839 "	" 1,635,107,344,173 "	" 1,742,079,222,307 "	" 1,808,737,756,281 "	" 1,661,914,707,751 "	" 1,540,370,434,905 "
SMALL STATES	Small states	SST	" 393,568,405,926 "	" 474,361,335,043 "	" 494,659,019,626 "	" 514,336,807,607 "	" 530,544,302,530 "	" 452,652,416,568 "	" 445,068,532,250 "
SAO TOME AND PRINCIPE	Sao Tome and Principe	STP	" 196,652,166 "	" 231,488,665 "	" 250,680,453 "	" 300,553,785 "	" 346,527,950 "	" 316,065,370 "	" 345,495,358 "
SURINAME	Suriname	SUR	" 4,368,398,048 "	" 4,422,276,622 "	" 4,980,000,000 "	" 5,145,757,576 "	" 5,240,606,061 "	" 4,787,367,928 "	" 3,128,953,537 "
SLOVAK REPUBLIC	Slovak Republic	SVK	" 90,310,718,349 "	" 99,122,802,874 "	" 94,534,730,681 "	" 98,848,641,555 "	" 101,189,715,749 "	" 88,467,555,244 "	" 89,655,253,976 "
SLOVENIA	Slovenia	SVN	" 48,161,250,405 "	" 51,516,366,655 "	" 46,580,457,470 "	" 48,401,896,808 "	" 49,930,685,013 "	" 43,090,173,395 "	" 44,736,333,522 "
SWEDEN	Sweden	SWE	" 495,812,558,843 "	" 574,094,112,973 "	" 552,483,727,283 "	" 586,841,821,797 "	" 581,964,017,237 "	" 505,103,781,350 "	" 515,654,671,470 "
ESWATINI	Eswatini	SWZ	" 4,438,778,547 "	" 4,820,499,497 "	" 4,886,658,806 "	" 4,597,702,903 "	" 4,422,304,975 "	" 4,062,660,890 "	" 3,816,018,485 "
SINT MAARTEN (DUTCH PART)	Sint Maarten (Dutch part)	SXM		" 936,089,385 "	" 985,865,922 "	" 1,022,905,028 "	" 1,245,251,397 "	" 1,253,072,626 "	" 1,263,687,151 "
SEYCHELLES	Seychelles	SYC	" 969,936,525 "	" 1,065,826,670 "	" 1,060,226,126 "	" 1,328,157,609 "	" 1,343,007,845 "	" 1,377,495,054 "	" 1,426,651,769 "
SYRIAN ARAB REPUBLIC	Syrian Arab Republic	SYR							
TURKS AND CAICOS ISLANDS	Turks and Caicos Islands	TCA	" 686,787,800 "	" 728,789,600 "	" 727,161,000 "	" 754,238,000 "	" 841,070,000 "	" 942,070,000 "	" 1,032,452,000 "
CHAD	Chad	TCD	" 10,668,102,735 "	" 12,172,309,523 "	" 12,367,363,678 "	" 12,953,535,496 "	" 13,940,768,066 "	" 10,950,392,220 "	" 10,097,778,354 "
EAST ASIA & PACIFIC (IDA & IBRD COUNTRIES)	East Asia & Pacific (IDA & IBRD countries)	TEA	" 7,859,511,724,477 "	" 9,601,739,619,658 "	" 10,706,984,951,240 "	" 11,812,889,074,004 "	" 12,737,160,518,776 "	" 13,269,125,320,571 "	" 13,549,821,527,676 "
EUROPE & CENTRAL ASIA (IDA & IBRD COUNTRIES)	Europe & Central Asia (IDA & IBRD countries)	TEC	" 3,651,001,925,417 "	" 4,434,427,545,701 "	" 4,629,810,866,328 "	" 4,909,028,677,074 "	" 4,641,837,066,256 "	" 3,621,705,460,712 "	" 3,485,578,750,339 "
TOGO	Togo	TGO	" 3,429,461,495 "	" 3,872,459,250 "	" 3,873,308,389 "	" 4,321,655,656 "	" 4,574,986,537 "	" 4,180,866,177 "	" 4,486,979,198 "
THAILAND	Thailand	THA	" 341,104,820,155 "	" 370,819,140,947 "	" 397,558,222,957 "	" 420,333,203,150 "	" 407,339,361,696 "	" 401,295,941,041 "	" 413,430,123,185 "
TAJIKISTAN	Tajikistan	TJK	" 5,642,178,580 "	" 6,522,732,203 "	" 7,633,049,792 "	" 8,448,469,838 "	" 9,112,544,556 "	" 7,854,602,392 "	" 6,952,678,127 "
TURKMENISTAN	Turkmenistan	TKM	" 22,583,157,895 "	" 29,233,333,333 "	" 35,164,210,526 "	" 39,197,543,860 "	" 43,524,210,526 "	" 35,799,714,286 "	" 36,180,000,000 "
LATIN AMERICA & THE CARIBBEAN (IDA & IBRD COUNTRIES)	Latin America & the Caribbean (IDA & IBRD countries)	TLA	" 5,159,341,058,318 "	" 5,885,562,189,741 "	" 5,942,645,743,013 "	" 6,089,029,695,834 "	" 6,207,880,304,228 "	" 5,300,255,692,640 "	" 5,162,837,726,209 "
TIMOR-LESTE	Timor-Leste	TLS	" 881,826,900 "	" 1,054,725,400 "	" 1,147,779,600 "	" 1,395,524,600 "	" 1,447,311,400 "	" 1,594,410,800 "	" 1,650,608,600 "
MIDDLE EAST & NORTH AFRICA (IDA & IBRD COUNTRIES)	Middle East & North Africa (IDA & IBRD countries)	TMN	" 1,375,100,698,353 "	" 1,555,699,890,933 "	" 1,717,407,464,452 "	" 1,605,603,770,809 "	" 1,585,265,223,315 "	" 1,426,043,431,411 "	" 1,444,324,321,118 "
TONGA	Tonga	TON	" 366,840,012 "	" 414,523,388 "	" 470,714,083 "	" 450,643,615 "	" 439,878,828 "	" 437,006,227 "	" 420,540,179 "
SOUTH ASIA (IDA & IBRD)	South Asia (IDA & IBRD)	TSA	" 2,060,781,195,903 "	" 2,271,837,830,663 "	" 2,297,332,203,013 "	" 2,357,132,410,758 "	" 2,581,822,536,187 "	" 2,697,257,705,966 "	" 2,923,010,601,938 "
SUB-SAHARAN AFRICA (IDA & IBRD COUNTRIES)	Sub-Saharan Africa (IDA & IBRD countries)	TSS	" 1,376,526,185,709 "	" 1,553,945,789,839 "	" 1,635,107,344,173 "	" 1,742,079,222,307 "	" 1,808,737,756,281 "	" 1,661,914,707,751 "	" 1,540,370,434,905 "
TRINIDAD AND TOBAGO	Trinidad and Tobago	TTO	" 22,157,948,396 "	" 25,433,011,405 "	" 25,763,220,107 "	" 27,268,478,565 "	" 27,615,843,098 "	" 25,062,893,969 "	" 22,284,780,327 "
TUNISIA	Tunisia	TUN	" 44,050,929,160 "	" 45,810,626,509 "	" 45,044,112,939 "	" 46,251,061,734 "	" 47,632,326,088 "	" 43,173,480,832 "	" 41,801,210,428 "
TURKEY	Turkey	TUR	" 776,967,610,957 "	" 838,785,707,000 "	" 880,555,967,207 "	" 957,799,371,566 "	" 938,934,394,764 "	" 864,314,287,106 "	" 869,683,121,563 "
TUVALU	Tuvalu	TUV	" 31,823,519 "	" 38,711,810 "	" 37,671,775 "	" 37,509,075 "	" 37,290,608 "	" 35,492,074 "	" 36,547,800 "
TANZANIA	Tanzania	TZA	" 32,014,249,841 "	" 34,657,139,495 "	" 39,650,530,214 "	" 45,680,532,614 "	" 49,964,788,814 "	" 47,378,599,025 "	" 49,774,021,003 "
UGANDA	Uganda	UGA	" 26,558,906,014 "	" 27,752,712,167 "	" 27,188,666,947 "	" 28,791,625,559 "	" 32,472,363,452 "	" 32,248,116,584 "	" 29,078,719,934 "
UKRAINE	Ukraine	UKR	" 136,013,155,905 "	" 163,159,671,670 "	" 175,781,379,051 "	" 183,310,146,378 "	" 133,503,411,376 "	" 91,030,959,455 "	" 93,355,993,629 "
UPPER MIDDLE INCOME	Upper middle income	UMC	" 16,223,438,101,876 "	" 19,402,769,722,100 "	" 20,788,268,583,623 "	" 22,031,378,746,748 "	" 22,730,001,475,259 "	" 21,352,171,851,051 "	" 21,338,913,049,380 "
URUGUAY	Uruguay	URY	" 40,284,481,653 "	" 47,962,439,303 "	" 51,264,390,114 "	" 57,531,233,351 "	" 57,236,013,088 "	" 53,274,304,222 "	" 52,687,612,262 "
UNITED STATES	United States	USA	" 14,992,052,727,000 "	" 15,542,581,104,000 "	" 16,197,007,349,000 "	" 16,784,849,196,000 "	" 17,527,163,695,000 "	" 18,224,704,440,000 "	" 18,714,960,538,000 "
UZBEKISTAN	Uzbekistan	UZB	" 46,679,875,794 "	" 56,516,280,748 "	" 63,628,854,499 "	" 68,997,168,338 "	" 76,658,542,757 "	" 81,847,410,182 "	" 81,779,012,351 "
ST. VINCENT AND THE GRENADINES	St. Vincent and the Grenadines	VCT	" 681,225,926 "	" 676,129,630 "	" 692,933,333 "	" 721,207,407 "	" 727,714,815 "	" 755,400,000 "	" 774,429,630 "
"VENEZUELA, RB"	"Venezuela, RB"	VEN	" 393,192,354,511 "	" 316,482,190,800 "	" 381,286,237,848 "	" 371,005,379,787 "	" 482,359,318,768 "		
BRITISH VIRGIN ISLANDS	British Virgin Islands	VGB							
VIRGIN ISLANDS (U.S.)	Virgin Islands (U.S.)	VIR	" 4,339,000,000 "	" 4,239,000,000 "	" 4,095,000,000 "	" 3,762,000,000 "	" 3,622,000,000 "	" 3,748,000,000 "	" 3,863,000,000 "
VIETNAM	Vietnam	VNM	" 115,931,749,697 "	" 135,539,438,560 "	" 155,820,001,920 "	" 171,222,025,117 "	" 186,204,652,922 "	" 193,241,108,710 "	" 205,276,172,135 "
VANUATU	Vanuatu	VUT	" 700,804,286 "	" 792,149,701 "	" 781,702,874 "	" 801,787,556 "	" 814,954,307 "	" 759,689,951 "	" 804,332,796 "
WORLD	World	WLD	" 66,125,919,193,271 "	" 73,460,345,663,712 "	" 75,161,778,950,115 "	" 77,316,336,530,735 "	" 79,453,254,441,375 "	" 75,217,722,628,912 "	" 76,368,999,871,237 "
SAMOA	Samoa	WSM	" 663,161,518 "	" 737,401,692 "	" 760,549,587 "	" 770,021,664 "	" 756,919,917 "	" 788,307,331 "	" 799,376,440 "
KOSOVO	Kosovo	XKX	" 5,835,874,321 "	" 6,701,698,218 "	" 6,499,807,272 "	" 7,074,777,527 "	" 7,396,705,195 "	" 6,442,915,788 "	" 6,719,172,017 "
"YEMEN, REP."	"Yemen, Rep."	YEM	" 30,906,749,533 "	" 32,726,417,212 "	" 35,401,341,663 "	" 40,415,235,702 "	" 43,206,469,767 "	" 42,450,620,876 "	" 30,935,978,724 "
SOUTH AFRICA	South Africa	ZAF	" 375,349,442,837 "	" 416,418,874,936 "	" 396,332,702,639 "	" 366,829,390,479 "	" 350,904,575,292 "	" 317,620,522,795 "	" 296,357,282,715 "
ZAMBIA	Zambia	ZMB	" 20,265,559,484 "	" 23,459,515,276 "	" 25,503,060,420 "	" 28,045,553,105 "	" 27,150,728,124 "	" 21,243,339,048 "	" 20,954,754,378 "
ZIMBABWE	Zimbabwe	ZWE	" 12,041,655,200 "	" 14,101,920,300 "	" 17,114,849,900 "	" 19,091,020,000 "	" 19,495,519,600 "	" 19,963,120,600 "	" 20,548,678,100 "
